key;status;occurs;default value;en;de;fr;es
action;+;index.html;Do it!;;Los geht's!;Au travail!;Vamos!
describe.online;+;index.html;To translate directly inside the application, run maven like this: 'mvn package -DonlineTranslation=true' and reload this page.;;Um direkt in der Applikation zu übersetzen, maven so ausführen 'mvn package -DonlineTranslation=true' und diese Seite neu laden.;Pour traduire directement dans l'application, executer 'mvn package -DonlineTranslation=true' et recharger cette page.;Para hacer traducciones directamente dentro de la aplicacion, ejecutar 'mvn package -DonlineTranslation=true' y regarcar esta pagina.
describe.output;+;index.html;The languager plugin will create translated versions of this file in target/languager-demo;;Das languager Plugin erzeugt übersetzte Versionen von dieser Datei in target/languager-demo;Le plugin languager genère des versions traduites de ce fichier dans target/languager-demo;El plugin languager genera versiones traducidas de este fichero en target/languager-demo
describe.warn;+;index.html;During build, it will warn about <ul> <li>Identical translations with different keys</li> <li>Identical keys with different translations</li> <li>Texts that are not translated</li> <li>Broken links</li> </ul>;;Während dem Build-Prozess warnt das Plugin vor <ul> <li>Identischen Übersetzungen mit unterschiedlichen Keys</li> <li>Identischen Keys mit unterschiedlichen Übersetzungen</li> <li>Nicht übersetzten Texten</li> <li>Ungültigen Links</li> </ul>;Pendant le processus de build le plugin émite avertissements sur<ul> <li>Traductions identiques avec clés différents</li> <li>Clés identiques avec traductions différents</li> <li>Des textes non traduits</li> <li>Des lines invalides</li> </ul>;Mientras el proceso de build, el plugin alerta de<ul> <li>Traducciones identicas de claves diferentes</li> <li>Claves identicas con traducciones diferentes</li> <li>Textos non traducidos</li> <li>Enlaces invalidos</li> </ul>
linkCheck;+;index.html;"Is <a href=""http://www.wrong"">this</a> a valid link?";;"Ist <a href=""http://www.wrong"">dies</a> ein gültiger Link?";"<a href=""http://www.wrong"">Ceci</a> est un lien valide?";"<a href=""http://www.wrong"">Este</a> enlace es valido?"
sameTitle;+;index.html;Languager demo;Languager demo;Languager Demonstration;Démonstration du plugin languager;Demostración del plugin languager
title;+;index.html;Languager demo;;Demonstration des Languager plugins;Démonstration du plugin languager;Demostración del plugin languager
welcome;+;index.html;Welcome to the demo!;Welcome to the demo!;Willkommen zu der Demonstration!;Bienvenu chez la démonstration!;¡Bienvenidos a la demostración!
